id:ID,asOfDate,canonicalName,country,createdBy,domain,name,nodeType,sector,source_folder,source_path,source_rel_path,source_url,source_vault,status,subdomain,tags,:LABEL
world:company:LEN,2026-06-01,LEN,[[USA]],step_a_company_stock_split,Entities,LEN,Company,[[Consumer Discretionary]],Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\LEN.md,Entities/Stocks/LEN.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FLEN.md,World_Machine,Active,Stocks,"[""stock"",""consumer-discretionary"",""housing"",""homebuilders""]",Entity;Company
world:company:LENZ,2026-06-01,LENZ,,step_a_company_stock_split,Entities,LENZ,Company,,,,,,,,,[],Entity;Company
world:company:LFVN,2026-06-01,LFVN,,step_a_company_stock_split,Entities,LFVN,Company,,,,,,,,,[],Entity;Company
world:company:LGIH,2026-06-01,LGIH,,step_a_company_stock_split,Entities,LGIH,Company,,,,,,,,,[],Entity;Company
world:company:LH,2026-06-01,LH,,step_a_company_stock_split,Entities,LH,Company,,,,,,,,,[],Entity;Company
world:company:LHX,2026-06-01,LHX,[[USA]],step_a_company_stock_split,Entities,LHX,Company,[[Aerospace & Defense]],Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\LHX.md,Entities/Stocks/LHX.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FLHX.md,World_Machine,Active,Stocks,"[""stock"",""defense"",""drones"",""autonomous"",""counter-drone""]",Entity;Company
world:company:LIFE,2026-06-01,LIFE,,step_a_company_stock_split,Entities,LIFE,Company,,,,,,,,,[],Entity;Company
world:company:LII,2026-06-01,LII,,step_a_company_stock_split,Entities,LII,Company,,,,,,,,,[],Entity;Company
world:company:LILAK,2026-06-01,LILAK,,step_a_company_stock_split,Entities,LILAK,Company,,,,,,,,,[],Entity;Company
world:company:LIN,2026-06-01,LIN,[[USA]],step_a_company_stock_split,Entities,LIN,Company,[[Materials]],Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\LIN.md,Entities/Stocks/LIN.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FLIN.md,World_Machine,Active,Stocks,"[""stock"",""materials"",""industrial-gases"",""quality""]",Entity;Company
world:company:LITE,2026-06-01,LITE,,step_a_company_stock_split,Entities,LITE,Company,,,,,,,,,[],Entity;Company
world:company:LIVN,2026-06-01,LIVN,,step_a_company_stock_split,Entities,LIVN,Company,,,,,,,,,[],Entity;Company
world:company:LKFT,2026-06-01,LKFT,,step_a_company_stock_split,Entities,LKFT,Company,,,,,,,,,[],Entity;Company
world:company:LLY,2026-06-01,LLY,[[USA]],step_a_company_stock_split,Entities,LLY,Company,[[Healthcare]],Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\LLY.md,Entities/Stocks/LLY.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FLLY.md,World_Machine,Active,Stocks,"[""stock"",""healthcare"",""pharma"",""glp1""]",Entity;Company
world:company:LLYVK,2026-06-01,LLYVK,,step_a_company_stock_split,Entities,LLYVK,Company,,,,,,,,,[],Entity;Company
world:company:LMT,2026-06-01,LMT,[[USA]],step_a_company_stock_split,Entities,LMT,Company,[[Aerospace & Defense]],Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\LMT.md,Entities/Stocks/LMT.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FLMT.md,World_Machine,Active,Stocks,"[""stock"",""defense"",""drones"",""military"",""large-cap""]",Entity;Company
world:company:NDLS,2026-06-01,NDLS,,step_a_company_stock_split,Entities,NDLS,Company,,,,,,,,,[],Entity;Company
world:company:LNG,2026-06-01,LNG,,step_a_company_stock_split,Entities,LNG,Company,,,,,,,,,[],Entity;Company
world:company:LNT,2026-06-01,LNT,,step_a_company_stock_split,Entities,LNT,Company,,,,,,,,,[],Entity;Company
world:company:LODE,2026-06-01,LODE,,step_a_company_stock_split,Entities,LODE,Company,,,,,,,,,[],Entity;Company
world:company:LOW,2026-06-01,LOW,,step_a_company_stock_split,Entities,LOW,Company,,,,,,,,,[],Entity;Company
world:company:LPG,2026-06-01,LPG,,step_a_company_stock_split,Entities,LPG,Company,,,,,,,,,[],Entity;Company
world:company:LRCX,2026-06-01,LRCX,,step_a_company_stock_split,Entities,LRCX,Company,,,,,,,,,[],Entity;Company
world:company:LSCC,2026-06-01,LSCC,,step_a_company_stock_split,Entities,LSCC,Company,,,,,,,,,[],Entity;Company
world:company:LTC,2026-06-01,LTC,,step_a_company_stock_split,Entities,LTC,Company,,,,,,,,,[],Entity;Company
world:company:LTRX,2026-06-01,LTRX,,step_a_company_stock_split,Entities,LTRX,Company,,,,,,,,,[],Entity;Company
world:company:LULU,2026-06-01,LULU,,step_a_company_stock_split,Entities,LULU,Company,,,,,,,,,[],Entity;Company
world:company:LUV,2026-06-01,LUV,,step_a_company_stock_split,Entities,LUV,Company,,,,,,,,,[],Entity;Company
world:company:LVLT,2026-06-01,LVLT,,step_a_company_stock_split,Entities,LVLT,Company,,,,,,,,,[],Entity;Company
world:company:LVS,2026-06-01,LVS,,step_a_company_stock_split,Entities,LVS,Company,,,,,,,,,[],Entity;Company
world:company:LWLG,2026-06-01,LWLG,,step_a_company_stock_split,Entities,LWLG,Company,,,,,,,,,[],Entity;Company
world:company:LX,2026-06-01,LX,,step_a_company_stock_split,Entities,LX,Company,,,,,,,,,[],Entity;Company
world:company:LXU,2026-06-01,LXU,,step_a_company_stock_split,Entities,LXU,Company,,,,,,,,,[],Entity;Company
world:company:LYB,2026-06-01,LYB,,step_a_company_stock_split,Entities,LYB,Company,,,,,,,,,[],Entity;Company
world:company:LYV,2026-06-01,LYV,,step_a_company_stock_split,Entities,LYV,Company,,,,,,,,,[],Entity;Company
world:company:MA,2026-06-01,MA,,step_a_company_stock_split,Entities,MA,Company,,,,,,,,,[],Entity;Company
world:company:MAA,2026-06-01,MAA,,step_a_company_stock_split,Entities,MAA,Company,,,,,,,,,[],Entity;Company
world:company:MAC,2026-06-01,MAC,,step_a_company_stock_split,Entities,MAC,Company,,,,,,,,,[],Entity;Company
world:company:MAR,2026-06-01,MAR,,step_a_company_stock_split,Entities,MAR,Company,,,,,,,,,[],Entity;Company
world:company:MAS,2026-06-01,MAS,,step_a_company_stock_split,Entities,MAS,Company,,,,,,,,,[],Entity;Company
world:company:MASI,2026-06-01,MASI,,step_a_company_stock_split,Entities,MASI,Company,,,,,,,,,[],Entity;Company
world:company:MASS,2026-06-01,MASS,,step_a_company_stock_split,Entities,MASS,Company,,,,,,,,,[],Entity;Company
world:company:MAT,2026-06-01,MAT,,step_a_company_stock_split,Entities,MAT,Company,,,,,,,,,[],Entity;Company
world:company:MC,2026-06-01,MC,,step_a_company_stock_split,Entities,MC,Company,,,,,,,,,[],Entity;Company
