id:ID,asOfDate,canonicalName,currency,dataType,date,domain,label,name,nodeType,obsidianUrl,relativePath,sourceFolder,sourcePath,sourceVault,source_folder,source_path,source_rel_path,source_url,source_vault,status,subdomain,tags,vault,:LABEL
world:country:argentina,2026-06-01,Argentina,[[ARS]],,,Entities,Argentina,Argentina,country,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FArgentina.md,Entities/Countries/Argentina.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Argentina.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Argentina.md,Entities/Countries/Argentina.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FArgentina.md,World_Machine,Active,Countries,"[""country"",""argentina"",""emerging-markets""]",World_Machine,Entity;Country
world:country:brazil,2026-06-01,Brazil,[[BRL]],,,Entities,Brazil,Brazil,country,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FBrazil.md,Entities/Countries/Brazil.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Brazil.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Brazil.md,Entities/Countries/Brazil.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FBrazil.md,World_Machine,Active,Countries,"[""country""]",World_Machine,Entity;Country
world:country:china,2026-06-01,China,[[CNY]],,,Entities,China,China,country,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FChina.md,Entities/Countries/China.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\China.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\China.md,Entities/Countries/China.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FChina.md,World_Machine,Active,Countries,"[""country""]",World_Machine,Entity;Country
world:country:germany,2026-06-01,Germany,[[EUR]],,,Entities,Germany,Germany,country,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FGermany.md,Entities/Countries/Germany.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Germany.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Germany.md,Entities/Countries/Germany.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FGermany.md,World_Machine,Active,Countries,"[""country""]",World_Machine,Entity;Country
world:country:india,2026-06-01,India,[[INR]],,,Entities,India,India,country,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FIndia.md,Entities/Countries/India.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\India.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\India.md,Entities/Countries/India.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FIndia.md,World_Machine,Active,Countries,"[""country""]",World_Machine,Entity;Country
world:country:japan,2026-06-01,Japan,[[JPY]],,,Entities,Japan,Japan,country,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FJapan.md,Entities/Countries/Japan.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Japan.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Japan.md,Entities/Countries/Japan.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FJapan.md,World_Machine,Active,Countries,"[""country""]",World_Machine,Entity;Country
world:country:saudi-arabia,2026-06-01,Saudi Arabia,[[SAR]],,,Entities,Saudi Arabia,Saudi Arabia,country,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FSaudi%20Arabia.md,Entities/Countries/Saudi Arabia.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Saudi Arabia.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Saudi Arabia.md,Entities/Countries/Saudi Arabia.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FSaudi%20Arabia.md,World_Machine,Active,Countries,"[""country""]",World_Machine,Entity;Country
world:country:sweden,2026-06-01,Sweden,,country,2026-05-12,Entities,Sweden,Sweden,country,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FSweden.md,Entities/Countries/Sweden.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Sweden.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Sweden.md,Entities/Countries/Sweden.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FSweden.md,World_Machine,,Countries,"[""country"",""sweden"",""europe"",""privatization"",""welfare-state"",""public-services""]",World_Machine,Entity;Country
world:country:uk,2026-06-01,United Kingdom,[[GBP]],,,Entities,United Kingdom,United Kingdom,country,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FUK.md,Entities/Countries/UK.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\UK.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\UK.md,Entities/Countries/UK.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FUK.md,World_Machine,Active,Countries,"[""country""]",World_Machine,Entity;Country
world:country:usa,2026-06-01,United States,[[DXY]],,,Entities,United States,United States,country,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FUSA.md,Entities/Countries/USA.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\USA.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\USA.md,Entities/Countries/USA.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FUSA.md,World_Machine,Active,Countries,"[""country""]",World_Machine,Entity;Country
