id:ID,asOfDate,canonicalName,domain,label,name,nodeType,tags,:LABEL
domain:datasources,2026-06-01,DataSources,DataSources,DataSources,DataSources,domain,[],Domain
domain:theses,2026-06-01,Theses,Theses,Theses,Theses,domain,[],Domain
domain:entities,2026-06-01,Entities,Entities,Entities,Entities,domain,[],Domain
domain:evidence,2026-06-01,Evidence,Evidence,Evidence,Evidence,domain,[],Domain
domain:macro,2026-06-01,Macro,Macro,Macro,Macro,domain,[],Domain
domain:news,2026-06-01,News,News,News,News,domain,[],Domain;EventTrend
domain:policy,2026-06-01,Policy,Policy,Policy,Policy,domain,[],Domain
domain:politics,2026-06-01,Politics,Politics,Politics,Politics,domain,[],Domain
domain:reports,2026-06-01,Reports,Reports,Reports,Reports,domain,[],Domain
domain:signals,2026-06-01,Signals,Signals,Signals,Signals,domain,[],Domain
