id:ID,asOfDate,canonicalName,country,createdBy,domain,exchange,label,latest_premarket_volume,latest_premarket_volume_asof,latest_price_close,latest_price_close_asof,latest_price_premarket,latest_price_premarket_asof,latest_volume,latest_volume_asof,name,nodeType,obsidianUrl,relativePath,sector,sourceFolder,sourcePath,sourceVault,source_folder,source_path,source_rel_path,source_url,source_vault,status,subdomain,symbol,tags,ticker,vault,:LABEL
world:stock:AA,2026-06-01,AA,,,Entities,,AA,,,,,,,,,AA,stock,,,,,,,,,,,,,,AA,[],AA,,Entity;Stock
world:stock:AAPL,2026-06-01,AAPL,[[USA]],,Entities,NASDAQ,AAPL,44170581,2026-06-01T21:53:25.092000000Z,306.31,2026-06-01T21:46:44.891000000Z,306.31,2026-06-01T21:53:25.092000000Z,44170581,2026-06-01T21:46:44.891000000Z,AAPL,stock,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FAAPL.md,Entities/Stocks/AAPL.md,[[Tech Sector]],Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\AAPL.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\AAPL.md,Entities/Stocks/AAPL.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FAAPL.md,World_Machine,Active,Stocks,AAPL,"[""stock""]",AAPL,World_Machine,Stock
world:stock:ABBV,2026-06-01,ABBV,[[USA]],,Entities,NYSE,ABBV,,,,,,,,,ABBV,stock,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FABBV.md,Entities/Stocks/ABBV.md,[[Healthcare]],Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\ABBV.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\ABBV.md,Entities/Stocks/ABBV.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FABBV.md,World_Machine,Active,Stocks,ABBV,"[""stock"",""pharma"",""mental-health"",""psychedelics""]",ABBV,World_Machine,Entity;Stock
world:stock:ABNB,2026-06-01,ABNB,,,Entities,,ABNB,,,,,,,,,ABNB,stock,,,,,,,,,,,,,,ABNB,[],ABNB,,Entity;Stock
world:stock:ABR,2026-06-01,ABR,,,Entities,,ABR,,,,,,,,,ABR,stock,,,,,,,,,,,,,,ABR,[],ABR,,Entity;Stock
world:stock:ABT,2026-06-01,ABT,,,Entities,,ABT,,,,,,,,,ABT,stock,,,,,,,,,,,,,,ABT,[],ABT,,Entity;Stock
world:stock:ABUS,2026-06-01,ABUS,,,Entities,,ABUS,,,,,,,,,ABUS,stock,,,,,,,,,,,,,,ABUS,[],ABUS,,Entity;Stock
world:stock:ACAD,2026-06-01,ACAD,,,Entities,,ACAD,,,,,,,,,ACAD,stock,,,,,,,,,,,,,,ACAD,[],ACAD,,Entity;Stock
world:stock:ACGL,2026-06-01,ACGL,,,Entities,,ACGL,,,,,,,,,ACGL,stock,,,,,,,,,,,,,,ACGL,[],ACGL,,Entity;Stock
world:stock:ACHR,2026-06-01,ACHR,[[USA]],,Entities,NYSE,ACHR,,,,,,,,,ACHR,stock,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FACHR.md,Entities/Stocks/ACHR.md,[[Industrials]],Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\ACHR.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\ACHR.md,Entities/Stocks/ACHR.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FACHR.md,World_Machine,Active,Stocks,ACHR,"[""stock"",""evtol"",""drones"",""air-mobility""]",ACHR,World_Machine,Entity;Stock
