id,labels,name,canonicalName,label,vault,relativePath,obsidianUrl,sourcePath,sourceVault,sourceFolder,nodeType,domain,subdomain,assetClass,sector,industry,country,jurisdiction,tags,status,signalStatus,confidence,conviction,timeframe,frequency,lastUpdated,date,asOfDate,ticker,exchange,symbol,currency,instrumentType,currentValue,trend,source,provider,dataType,datePulled,freshnessDate,summary,url
world:country:argentina,Country;Entity,Argentina,Argentina,Argentina,World_Machine,Entities/Countries/Argentina.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FArgentina.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Argentina.md,World_Machine,Entities,country,Entities,Countries,,,,,,country;argentina;emerging-markets,Active,,,,,,,,2026-06-01,,,,[[ARS]],,,,,,,,,,
world:country:brazil,Country;Entity,Brazil,Brazil,Brazil,World_Machine,Entities/Countries/Brazil.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FBrazil.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Brazil.md,World_Machine,Entities,country,Entities,Countries,,,,,,country,Active,,,,,,,,2026-06-01,,,,[[BRL]],,,,,,,,,,
world:country:china,Country;Entity,China,China,China,World_Machine,Entities/Countries/China.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FChina.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\China.md,World_Machine,Entities,country,Entities,Countries,,,,,,country,Active,,,,,,,,2026-06-01,,,,[[CNY]],,,,,,,,,,
world:country:germany,Country;Entity,Germany,Germany,Germany,World_Machine,Entities/Countries/Germany.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FGermany.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Germany.md,World_Machine,Entities,country,Entities,Countries,,,,,,country,Active,,,,,,,,2026-06-01,,,,[[EUR]],,,,,,,,,,
world:country:india,Country;Entity,India,India,India,World_Machine,Entities/Countries/India.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FIndia.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\India.md,World_Machine,Entities,country,Entities,Countries,,,,,,country,Active,,,,,,,,2026-06-01,,,,[[INR]],,,,,,,,,,
world:country:japan,Country;Entity,Japan,Japan,Japan,World_Machine,Entities/Countries/Japan.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FJapan.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Japan.md,World_Machine,Entities,country,Entities,Countries,,,,,,country,Active,,,,,,,,2026-06-01,,,,[[JPY]],,,,,,,,,,
world:country:saudi-arabia,Country;Entity,Saudi Arabia,Saudi Arabia,Saudi Arabia,World_Machine,Entities/Countries/Saudi Arabia.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FSaudi%20Arabia.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Saudi Arabia.md,World_Machine,Entities,country,Entities,Countries,,,,,,country,Active,,,,,,,,2026-06-01,,,,[[SAR]],,,,,,,,,,
world:country:sweden,Country;Entity,Sweden,Sweden,Sweden,World_Machine,Entities/Countries/Sweden.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FSweden.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\Sweden.md,World_Machine,Entities,country,Entities,Countries,,,,,,country;sweden;europe;privatization;welfare-state;public-services,,,,,,,,2026-05-12,2026-06-01,,,,,,,,,,country,,,,
world:country:uk,Country;Entity,United Kingdom,United Kingdom,United Kingdom,World_Machine,Entities/Countries/UK.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FUK.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\UK.md,World_Machine,Entities,country,Entities,Countries,,,,,,country,Active,,,,,,,,2026-06-01,,,,[[GBP]],,,,,,,,,,
world:country:usa,Country;Entity,United States,United States,United States,World_Machine,Entities/Countries/USA.md,obsidian://open?vault=World_Machine&file=Entities%2FCountries%2FUSA.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Countries\USA.md,World_Machine,Entities,country,Entities,Countries,,,,,,country,Active,,,,,,,,2026-06-01,,,,[[DXY]],,,,,,,,,,
