id,labels,name,canonicalName,label,vault,relativePath,obsidianUrl,sourcePath,sourceVault,sourceFolder,nodeType,domain,subdomain,assetClass,sector,industry,country,jurisdiction,tags,status,signalStatus,confidence,conviction,timeframe,frequency,lastUpdated,date,asOfDate,ticker,exchange,symbol,currency,instrumentType,currentValue,trend,source,provider,dataType,datePulled,freshnessDate,summary,url
domain:companyrisk,Domain,CompanyRisk,CompanyRisk,CompanyRisk,,,,,,,domain,CompanyRisk,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
domain:datasources,Domain,DataSources,DataSources,DataSources,,,,,,,domain,DataSources,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
domain:entities,Domain,Entities,Entities,Entities,,,,,,,domain,Entities,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
domain:evidence,Domain,Evidence,Evidence,Evidence,,,,,,,domain,Evidence,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
domain:macro,Domain,Macro,Macro,Macro,,,,,,,domain,Macro,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
domain:news,Domain,News,News,News,,,,,,,domain,News,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
domain:policy,Domain,Policy,Policy,Policy,,,,,,,domain,Policy,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
domain:politics,Domain,Politics,Politics,Politics,,,,,,,domain,Politics,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
domain:reports,Domain,Reports,Reports,Reports,,,,,,,domain,Reports,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
domain:signals,Domain,Signals,Signals,Signals,,,,,,,domain,Signals,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
domain:theses,Domain,Theses,Theses,Theses,,,,,,,domain,Theses,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
