id,labels,name,canonicalName,label,vault,relativePath,obsidianUrl,sourcePath,sourceVault,sourceFolder,nodeType,domain,subdomain,assetClass,sector,industry,country,jurisdiction,tags,status,signalStatus,confidence,conviction,timeframe,frequency,lastUpdated,date,asOfDate,ticker,exchange,symbol,currency,instrumentType,currentValue,trend,source,provider,dataType,datePulled,freshnessDate,summary,url
world:stock:A,Stock;Company;Entity,A,A,A,,,,,,,stock,Entities,,,,,,,,,,,,,,,,2026-06-01,A,,A,,,,,,,,,,,
world:stock:AA,Stock;Company;Entity,AA,AA,AA,,,,,,,stock,Entities,,,,,,,,,,,,,,,,2026-06-01,AA,,AA,,,,,,,,,,,
world:stock:AAPL,Stock;Company;Entity,AAPL,AAPL,AAPL,World_Machine,Entities/Stocks/AAPL.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FAAPL.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\AAPL.md,World_Machine,Entities,stock,Entities,Stocks,,[[Tech Sector]],,[[USA]],,stock,Active,,,,,,,,2026-06-01,AAPL,NASDAQ,AAPL,,,,,,,,,,,
world:stock:ABBV,Stock;Company;Entity,ABBV,ABBV,ABBV,World_Machine,Entities/Stocks/ABBV.md,obsidian://open?vault=World_Machine&file=Entities%2FStocks%2FABBV.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Stocks\ABBV.md,World_Machine,Entities,stock,Entities,Stocks,,[[Healthcare]],,[[USA]],,stock;pharma;mental-health;psychedelics,Active,,,,,,,,2026-06-01,ABBV,NYSE,ABBV,,,,,,,,,,,
world:stock:ABNB,Stock;Company;Entity,ABNB,ABNB,ABNB,,,,,,,stock,Entities,,,,,,,,,,,,,,,,2026-06-01,ABNB,,ABNB,,,,,,,,,,,
world:stock:ABR,Stock;Company;Entity,ABR,ABR,ABR,,,,,,,stock,Entities,,,,,,,,,,,,,,,,2026-06-01,ABR,,ABR,,,,,,,,,,,
world:stock:ABT,Stock;Company;Entity,ABT,ABT,ABT,,,,,,,stock,Entities,,,,,,,,,,,,,,,,2026-06-01,ABT,,ABT,,,,,,,,,,,
world:stock:ABUS,Stock;Company;Entity,ABUS,ABUS,ABUS,,,,,,,stock,Entities,,,,,,,,,,,,,,,,2026-06-01,ABUS,,ABUS,,,,,,,,,,,
world:stock:ACAD,Stock;Company;Entity,ACAD,ACAD,ACAD,,,,,,,stock,Entities,,,,,,,,,,,,,,,,2026-06-01,ACAD,,ACAD,,,,,,,,,,,
world:stock:ACGL,Stock;Company;Entity,ACGL,ACGL,ACGL,,,,,,,stock,Entities,,,,,,,,,,,,,,,,2026-06-01,ACGL,,ACGL,,,,,,,,,,,
