id,sourceId,targetId,type,source,method,confidence,weight,status,reason,evidenceCount,missingEvidence,firstSeen,lastSeen,reviewState,reviewRoute,createdBy,asOfDate
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-airo,world:sector:aerospace-defense,world:stock:AIRO,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-avav,world:sector:aerospace-defense,world:stock:AVAV,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-dro-ax,world:sector:aerospace-defense,world:stock:DRO_AX,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-eslt,world:sector:aerospace-defense,world:stock:ESLT,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-ktos,world:sector:aerospace-defense,world:stock:KTOS,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-lhx,world:sector:aerospace-defense,world:stock:LHX,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-lmt,world:sector:aerospace-defense,world:stock:LMT,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-noc,world:sector:aerospace-defense,world:stock:NOC,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-rcat,world:sector:aerospace-defense,world:stock:RCAT,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-rtx,world:sector:aerospace-defense,world:stock:RTX,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-tdy,world:sector:aerospace-defense,world:stock:TDY,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-txt,world:sector:aerospace-defense,world:stock:TXT,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-umac,world:sector:aerospace-defense,world:stock:UMAC,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-communication-services:AFFECTS_STOCK:world-stock-googl,world:sector:communication-services,world:stock:GOOGL,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-communication-services:AFFECTS_STOCK:world-stock-meta,world:sector:communication-services,world:stock:META,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-communication-services:AFFECTS_STOCK:world-stock-nflx,world:sector:communication-services,world:stock:NFLX,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-consumer-discretionary:AFFECTS_STOCK:world-stock-amzn,world:sector:consumer-discretionary,world:stock:AMZN,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-consumer-discretionary:AFFECTS_STOCK:world-stock-blmn,world:sector:consumer-discretionary,world:stock:BLMN,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-consumer-discretionary:AFFECTS_STOCK:world-stock-dhi,world:sector:consumer-discretionary,world:stock:DHI,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-consumer-discretionary:AFFECTS_STOCK:world-stock-len,world:sector:consumer-discretionary,world:stock:LEN,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-consumer-discretionary:AFFECTS_STOCK:world-stock-prks,world:sector:consumer-discretionary,world:stock:PRKS,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-consumer-discretionary:AFFECTS_STOCK:world-stock-tsla,world:sector:consumer-discretionary,world:stock:TSLA,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-consumer-staples:AFFECTS_STOCK:world-stock-brbr,world:sector:consumer-staples,world:stock:BRBR,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-consumer-staples:AFFECTS_STOCK:world-stock-cost,world:sector:consumer-staples,world:stock:COST,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-consumer-staples:AFFECTS_STOCK:world-stock-ko,world:sector:consumer-staples,world:stock:KO,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-consumer-staples:AFFECTS_STOCK:world-stock-pg,world:sector:consumer-staples,world:stock:PG,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-energy:AFFECTS_STOCK:world-stock-cvx,world:sector:energy,world:stock:CVX,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-energy:AFFECTS_STOCK:world-stock-oxy,world:sector:energy,world:stock:OXY,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-energy:AFFECTS_STOCK:world-stock-slb,world:sector:energy,world:stock:SLB,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-energy:AFFECTS_STOCK:world-stock-xom,world:sector:energy,world:stock:XOM,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-financials:AFFECTS_STOCK:world-stock-axp,world:sector:financials,world:stock:AXP,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-financials:AFFECTS_STOCK:world-stock-brk-b,world:sector:financials,world:stock:BRK_B,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-financials:AFFECTS_STOCK:world-stock-coin,world:sector:financials,world:stock:COIN,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-financials:AFFECTS_STOCK:world-stock-ecpg,world:sector:financials,world:stock:ECPG,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-sector-financials:AFFECTS_STOCK:world-stock-gs,world:sector:financials,world:stock:GS,AFFECTS_STOCK,frontmatter,sector_exposure,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
