id,sourceId,targetId,type,source,method,confidence,weight,status,reason,evidenceCount,missingEvidence,firstSeen,lastSeen,reviewState,reviewRoute,createdBy,asOfDate
rel:world-regime-geopolitical-escalation:HURTS_SECTOR:world-sector-consumer-discretionary,world:regime:geopolitical-escalation,world:sector:consumer-discretionary,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-geopolitical-escalation:HURTS_SECTOR:world-sector-real-estate,world:regime:geopolitical-escalation,world:sector:real-estate,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-inflationary-boom:HURTS_SECTOR:world-sector-consumer-staples,world:regime:inflationary-boom,world:sector:consumer-staples,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-inflationary-boom:HURTS_SECTOR:world-sector-utilities,world:regime:inflationary-boom,world:sector:utilities,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-rate-cut-cycle:HURTS_SECTOR:world-sector-financials,world:regime:rate-cut-cycle,world:sector:financials,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-rate-hike-cycle:HURTS_SECTOR:world-sector-consumer-discretionary,world:regime:rate-hike-cycle,world:sector:consumer-discretionary,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-rate-hike-cycle:HURTS_SECTOR:world-sector-real-estate,world:regime:rate-hike-cycle,world:sector:real-estate,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-rate-hike-cycle:HURTS_SECTOR:world-sector-tech-sector,world:regime:rate-hike-cycle,world:sector:tech-sector,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-recession:HURTS_SECTOR:world-sector-consumer-discretionary,world:regime:recession,world:sector:consumer-discretionary,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-recession:HURTS_SECTOR:world-sector-financials,world:regime:recession,world:sector:financials,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-recession:HURTS_SECTOR:world-sector-industrials,world:regime:recession,world:sector:industrials,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-recession:HURTS_SECTOR:world-sector-materials,world:regime:recession,world:sector:materials,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-off:HURTS_SECTOR:world-sector-consumer-discretionary,world:regime:risk-off,world:sector:consumer-discretionary,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-off:HURTS_SECTOR:world-sector-industrials,world:regime:risk-off,world:sector:industrials,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-off:HURTS_SECTOR:world-sector-tech-sector,world:regime:risk-off,world:sector:tech-sector,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-on:HURTS_SECTOR:world-sector-consumer-staples,world:regime:risk-on,world:sector:consumer-staples,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-on:HURTS_SECTOR:world-sector-utilities,world:regime:risk-on,world:sector:utilities,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-stagflation:HURTS_SECTOR:world-sector-consumer-discretionary,world:regime:stagflation,world:sector:consumer-discretionary,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-stagflation:HURTS_SECTOR:world-sector-financials,world:regime:stagflation,world:sector:financials,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-stagflation:HURTS_SECTOR:world-sector-tech-sector,world:regime:stagflation,world:sector:tech-sector,HURTS_SECTOR,frontmatter,hurts_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
