id,sourceId,targetId,type,source,method,confidence,weight,status,reason,evidenceCount,missingEvidence,firstSeen,lastSeen,reviewState,reviewRoute,createdBy,asOfDate
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-sector-aerospace-defense,mydata:thesis:aerospace-defense-sector-basket,world:sector:aerospace-defense,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-avav,mydata:thesis:aerospace-defense-sector-basket,world:stock:AVAV,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-axon,mydata:thesis:aerospace-defense-sector-basket,world:stock:AXON,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-ba,mydata:thesis:aerospace-defense-sector-basket,world:stock:BA,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-gd,mydata:thesis:aerospace-defense-sector-basket,world:stock:GD,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-hii,mydata:thesis:aerospace-defense-sector-basket,world:stock:HII,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-lhx,mydata:thesis:aerospace-defense-sector-basket,world:stock:LHX,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-lmt,mydata:thesis:aerospace-defense-sector-basket,world:stock:LMT,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-noc,mydata:thesis:aerospace-defense-sector-basket,world:stock:NOC,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-rtx,mydata:thesis:aerospace-defense-sector-basket,world:stock:RTX,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-saic,mydata:thesis:aerospace-defense-sector-basket,world:stock:SAIC,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-tdg,mydata:thesis:aerospace-defense-sector-basket,world:stock:TDG,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:LINKS_TO:world-stock-usa,mydata:thesis:aerospace-defense-sector-basket,world:stock:USA,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:LINKS_TO:world-entity-power-infrastructure,mydata:thesis:ai-power-defense-stack,world:entity:power-infrastructure,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:LINKS_TO:world-sector-aerospace-defense,mydata:thesis:ai-power-defense-stack,world:sector:aerospace-defense,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:LINKS_TO:world-stock-amzn,mydata:thesis:ai-power-defense-stack,world:stock:AMZN,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:LINKS_TO:world-stock-etn,mydata:thesis:ai-power-defense-stack,world:stock:ETN,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:LINKS_TO:world-stock-gev,mydata:thesis:ai-power-defense-stack,world:stock:GEV,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:LINKS_TO:world-stock-msft,mydata:thesis:ai-power-defense-stack,world:stock:MSFT,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:LINKS_TO:world-stock-pltr,mydata:thesis:ai-power-defense-stack,world:stock:PLTR,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:LINKS_TO:world-stock-usa,mydata:thesis:ai-power-defense-stack,world:stock:USA,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:LINKS_TO:world-entity-power-infrastructure,mydata:thesis:ai-power-infrastructure,world:entity:power-infrastructure,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:LINKS_TO:world-stock-ai,mydata:thesis:ai-power-infrastructure,world:stock:AI,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:LINKS_TO:world-stock-etn,mydata:thesis:ai-power-infrastructure,world:stock:ETN,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:LINKS_TO:world-stock-gev,mydata:thesis:ai-power-infrastructure,world:stock:GEV,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:LINKS_TO:world-stock-nrg,mydata:thesis:ai-power-infrastructure,world:stock:NRG,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:LINKS_TO:world-stock-strl,mydata:thesis:ai-power-infrastructure,world:stock:STRL,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:LINKS_TO:world-stock-usa,mydata:thesis:ai-power-infrastructure,world:stock:USA,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:LINKS_TO:world-stock-vst,mydata:thesis:ai-power-infrastructure,world:stock:VST,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-alzheimers-disease-modification:LINKS_TO:world-entity-neurology,mydata:thesis:alzheimers-disease-modification,world:entity:neurology,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-alzheimers-disease-modification:LINKS_TO:world-entity-rare-disease,mydata:thesis:alzheimers-disease-modification,world:entity:rare-disease,LINKS_TO,frontmatter,core_entities,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
