id,sourceId,targetId,type,source,method,confidence,weight,status,reason,evidenceCount,missingEvidence,firstSeen,lastSeen,reviewState,reviewRoute,createdBy,asOfDate
rel:mydata-thesis-aerospace-defense-sector-basket:SUPPORTS_THESIS:world-regime-geopolitical-escalation,mydata:thesis:aerospace-defense-sector-basket,world:regime:geopolitical-escalation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:SUPPORTS_THESIS:world-regime-goldilocks,mydata:thesis:aerospace-defense-sector-basket,world:regime:goldilocks,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-aerospace-defense-sector-basket:SUPPORTS_THESIS:world-regime-risk-off,mydata:thesis:aerospace-defense-sector-basket,world:regime:risk-off,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:SUPPORTS_THESIS:world-entity-ai-infrastructure-buildout,mydata:thesis:ai-power-defense-stack,world:entity:ai-infrastructure-buildout,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:SUPPORTS_THESIS:world-entity-defense-budget-supercycle,mydata:thesis:ai-power-defense-stack,world:entity:defense-budget-supercycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:SUPPORTS_THESIS:world-entity-industrial-policy,mydata:thesis:ai-power-defense-stack,world:entity:industrial-policy,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:SUPPORTS_THESIS:world-entity-ai-infrastructure-buildout,mydata:thesis:ai-power-infrastructure,world:entity:ai-infrastructure-buildout,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:SUPPORTS_THESIS:world-entity-energy-security,mydata:thesis:ai-power-infrastructure,world:entity:energy-security,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:SUPPORTS_THESIS:world-entity-industrial-policy,mydata:thesis:ai-power-infrastructure,world:entity:industrial-policy,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-alzheimers-disease-modification:SUPPORTS_THESIS:world-regime-goldilocks,mydata:thesis:alzheimers-disease-modification,world:regime:goldilocks,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-alzheimers-disease-modification:SUPPORTS_THESIS:world-regime-innovation-cycle,mydata:thesis:alzheimers-disease-modification,world:regime:innovation-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-antimicrobial-resistance-pipeline:SUPPORTS_THESIS:world-entity-biosecurity-spending,mydata:thesis:antimicrobial-resistance-pipeline,world:entity:biosecurity-spending,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-antimicrobial-resistance-pipeline:SUPPORTS_THESIS:world-regime-rate-cut-cycle,mydata:thesis:antimicrobial-resistance-pipeline,world:regime:rate-cut-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-antimicrobial-resistance-pipeline:SUPPORTS_THESIS:world-regime-risk-on,mydata:thesis:antimicrobial-resistance-pipeline,world:regime:risk-on,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-bioengineered-food-systems:SUPPORTS_THESIS:world-entity-food-inflation,mydata:thesis:bioengineered-food-systems,world:entity:food-inflation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-bioengineered-food-systems:SUPPORTS_THESIS:world-regime-climate-adaptation,mydata:thesis:bioengineered-food-systems,world:regime:climate-adaptation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-bioengineered-food-systems:SUPPORTS_THESIS:world-regime-innovation-cycle,mydata:thesis:bioengineered-food-systems,world:regime:innovation-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-bioengineered-food-systems:SUPPORTS_THESIS:world-regime-supply-chain-reshoring,mydata:thesis:bioengineered-food-systems,world:regime:supply-chain-reshoring,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-biosecurity-compute-convergence:SUPPORTS_THESIS:world-entity-ai-infrastructure-buildout,mydata:thesis:biosecurity-compute-convergence,world:entity:ai-infrastructure-buildout,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-biosecurity-compute-convergence:SUPPORTS_THESIS:world-entity-defense-budget-supercycle,mydata:thesis:biosecurity-compute-convergence,world:entity:defense-budget-supercycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-biosecurity-compute-convergence:SUPPORTS_THESIS:world-regime-innovation-cycle,mydata:thesis:biosecurity-compute-convergence,world:regime:innovation-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-buffett-style-quality-compounders:SUPPORTS_THESIS:world-regime-goldilocks,mydata:thesis:buffett-style-quality-compounders,world:regime:goldilocks,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-buffett-style-quality-compounders:SUPPORTS_THESIS:world-regime-recession,mydata:thesis:buffett-style-quality-compounders,world:regime:recession,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-buffett-style-quality-compounders:SUPPORTS_THESIS:world-regime-risk-off,mydata:thesis:buffett-style-quality-compounders,world:regime:risk-off,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-capital-raise-survivors-small-cap-inflection-basket:SUPPORTS_THESIS:world-regime-liquidity-cycle,mydata:thesis:capital-raise-survivors-small-cap-inflection-basket,world:regime:liquidity-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-capital-raise-survivors-small-cap-inflection-basket:SUPPORTS_THESIS:world-regime-rate-cut-cycle,mydata:thesis:capital-raise-survivors-small-cap-inflection-basket,world:regime:rate-cut-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-capital-raise-survivors-small-cap-inflection-basket:SUPPORTS_THESIS:world-regime-risk-on,mydata:thesis:capital-raise-survivors-small-cap-inflection-basket,world:regime:risk-on,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-communication-services-sector-basket:SUPPORTS_THESIS:world-regime-goldilocks,mydata:thesis:communication-services-sector-basket,world:regime:goldilocks,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-communication-services-sector-basket:SUPPORTS_THESIS:world-regime-risk-off,mydata:thesis:communication-services-sector-basket,world:regime:risk-off,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-communication-services-sector-basket:SUPPORTS_THESIS:world-regime-risk-on,mydata:thesis:communication-services-sector-basket,world:regime:risk-on,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-consumer-discretionary-sector-basket:SUPPORTS_THESIS:world-regime-goldilocks,mydata:thesis:consumer-discretionary-sector-basket,world:regime:goldilocks,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-consumer-discretionary-sector-basket:SUPPORTS_THESIS:world-regime-rate-cut-cycle,mydata:thesis:consumer-discretionary-sector-basket,world:regime:rate-cut-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-consumer-discretionary-sector-basket:SUPPORTS_THESIS:world-regime-recession,mydata:thesis:consumer-discretionary-sector-basket,world:regime:recession,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-consumer-staples-sector-basket:SUPPORTS_THESIS:world-regime-goldilocks,mydata:thesis:consumer-staples-sector-basket,world:regime:goldilocks,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-consumer-staples-sector-basket:SUPPORTS_THESIS:world-regime-recession,mydata:thesis:consumer-staples-sector-basket,world:regime:recession,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-consumer-staples-sector-basket:SUPPORTS_THESIS:world-regime-risk-off,mydata:thesis:consumer-staples-sector-basket,world:regime:risk-off,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-dalio-style-all-weather-hard-assets:SUPPORTS_THESIS:world-regime-geopolitical-escalation,mydata:thesis:dalio-style-all-weather-hard-assets,world:regime:geopolitical-escalation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-dalio-style-all-weather-hard-assets:SUPPORTS_THESIS:world-regime-risk-off,mydata:thesis:dalio-style-all-weather-hard-assets,world:regime:risk-off,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-dalio-style-all-weather-hard-assets:SUPPORTS_THESIS:world-regime-stagflation,mydata:thesis:dalio-style-all-weather-hard-assets,world:regime:stagflation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-defense-ai-autonomous-warfare:SUPPORTS_THESIS:world-entity-defense-budget-supercycle,mydata:thesis:defense-ai-autonomous-warfare,world:entity:defense-budget-supercycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-defense-ai-autonomous-warfare:SUPPORTS_THESIS:world-regime-geopolitical-escalation,mydata:thesis:defense-ai-autonomous-warfare,world:regime:geopolitical-escalation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-defense-ai-autonomous-warfare:SUPPORTS_THESIS:world-regime-risk-on,mydata:thesis:defense-ai-autonomous-warfare,world:regime:risk-on,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-dollar-debasement-hard-money:SUPPORTS_THESIS:world-entity-dollar-debasement,mydata:thesis:dollar-debasement-hard-money,world:entity:dollar-debasement,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-dollar-debasement-hard-money:SUPPORTS_THESIS:world-entity-fiscal-dominance,mydata:thesis:dollar-debasement-hard-money,world:entity:fiscal-dominance,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-dollar-debasement-hard-money:SUPPORTS_THESIS:world-entity-inflation-resurgence,mydata:thesis:dollar-debasement-hard-money,world:entity:inflation-resurgence,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-dollar-debasement-hard-money:SUPPORTS_THESIS:world-regime-risk-off,mydata:thesis:dollar-debasement-hard-money,world:regime:risk-off,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-drone-autonomous-systems-revolution:SUPPORTS_THESIS:world-regime-geopolitical-escalation,mydata:thesis:drone-autonomous-systems-revolution,world:regime:geopolitical-escalation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-drone-autonomous-systems-revolution:SUPPORTS_THESIS:world-regime-rate-cut-cycle,mydata:thesis:drone-autonomous-systems-revolution,world:regime:rate-cut-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-drone-autonomous-systems-revolution:SUPPORTS_THESIS:world-regime-risk-on,mydata:thesis:drone-autonomous-systems-revolution,world:regime:risk-on,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-druckenmiller-style-secular-trend-leaders:SUPPORTS_THESIS:world-regime-geopolitical-escalation,mydata:thesis:druckenmiller-style-secular-trend-leaders,world:regime:geopolitical-escalation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-druckenmiller-style-secular-trend-leaders:SUPPORTS_THESIS:world-regime-goldilocks,mydata:thesis:druckenmiller-style-secular-trend-leaders,world:regime:goldilocks,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-druckenmiller-style-secular-trend-leaders:SUPPORTS_THESIS:world-regime-risk-on,mydata:thesis:druckenmiller-style-secular-trend-leaders,world:regime:risk-on,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-energy-sector-basket:SUPPORTS_THESIS:world-regime-geopolitical-escalation,mydata:thesis:energy-sector-basket,world:regime:geopolitical-escalation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-energy-sector-basket:SUPPORTS_THESIS:world-regime-risk-on,mydata:thesis:energy-sector-basket,world:regime:risk-on,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-energy-sector-basket:SUPPORTS_THESIS:world-regime-stagflation,mydata:thesis:energy-sector-basket,world:regime:stagflation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-financials-sector-basket:SUPPORTS_THESIS:world-regime-goldilocks,mydata:thesis:financials-sector-basket,world:regime:goldilocks,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-financials-sector-basket:SUPPORTS_THESIS:world-regime-rate-cut-cycle,mydata:thesis:financials-sector-basket,world:regime:rate-cut-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-financials-sector-basket:SUPPORTS_THESIS:world-regime-recession,mydata:thesis:financials-sector-basket,world:regime:recession,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-fiscal-scarcity-rearmament:SUPPORTS_THESIS:world-entity-defense-budget-supercycle,mydata:thesis:fiscal-scarcity-rearmament,world:entity:defense-budget-supercycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-fiscal-scarcity-rearmament:SUPPORTS_THESIS:world-regime-geopolitical-escalation,mydata:thesis:fiscal-scarcity-rearmament,world:regime:geopolitical-escalation,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-fiscal-scarcity-rearmament:SUPPORTS_THESIS:world-regime-rate-cut-cycle,mydata:thesis:fiscal-scarcity-rearmament,world:regime:rate-cut-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-gene-editing-crispr-therapeutics:SUPPORTS_THESIS:world-regime-innovation-cycle,mydata:thesis:gene-editing-crispr-therapeutics,world:regime:innovation-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-gene-editing-crispr-therapeutics:SUPPORTS_THESIS:world-regime-risk-on,mydata:thesis:gene-editing-crispr-therapeutics,world:regime:risk-on,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-glp-1-metabolic-disease-revolution:SUPPORTS_THESIS:world-regime-goldilocks,mydata:thesis:glp-1-metabolic-disease-revolution,world:regime:goldilocks,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-glp-1-metabolic-disease-revolution:SUPPORTS_THESIS:world-regime-innovation-cycle,mydata:thesis:glp-1-metabolic-disease-revolution,world:regime:innovation-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-glp-1-metabolic-disease-revolution:SUPPORTS_THESIS:world-regime-risk-on,mydata:thesis:glp-1-metabolic-disease-revolution,world:regime:risk-on,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-graham-style-deep-value-re-rating:SUPPORTS_THESIS:world-regime-rate-cut-cycle,mydata:thesis:graham-style-deep-value-re-rating,world:regime:rate-cut-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-graham-style-deep-value-re-rating:SUPPORTS_THESIS:world-regime-recession,mydata:thesis:graham-style-deep-value-re-rating,world:regime:recession,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-graham-style-deep-value-re-rating:SUPPORTS_THESIS:world-regime-risk-off,mydata:thesis:graham-style-deep-value-re-rating,world:regime:risk-off,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-grid-equipment-bottleneck:SUPPORTS_THESIS:world-entity-ai-infrastructure-buildout,mydata:thesis:grid-equipment-bottleneck,world:entity:ai-infrastructure-buildout,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-grid-equipment-bottleneck:SUPPORTS_THESIS:world-entity-energy-security,mydata:thesis:grid-equipment-bottleneck,world:entity:energy-security,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-grid-equipment-bottleneck:SUPPORTS_THESIS:world-entity-grid-resilience-investment,mydata:thesis:grid-equipment-bottleneck,world:entity:grid-resilience-investment,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-grid-equipment-bottleneck:SUPPORTS_THESIS:world-entity-industrial-policy,mydata:thesis:grid-equipment-bottleneck,world:entity:industrial-policy,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-grid-scale-battery-storage:SUPPORTS_THESIS:world-entity-ai-infrastructure-buildout,mydata:thesis:grid-scale-battery-storage,world:entity:ai-infrastructure-buildout,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-grid-scale-battery-storage:SUPPORTS_THESIS:world-entity-energy-transition,mydata:thesis:grid-scale-battery-storage,world:entity:energy-transition,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-grid-scale-battery-storage:SUPPORTS_THESIS:world-entity-ira-incentives,mydata:thesis:grid-scale-battery-storage,world:entity:ira-incentives,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-healthcare-sector-basket:SUPPORTS_THESIS:world-regime-goldilocks,mydata:thesis:healthcare-sector-basket,world:regime:goldilocks,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-healthcare-sector-basket:SUPPORTS_THESIS:world-regime-recession,mydata:thesis:healthcare-sector-basket,world:regime:recession,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-healthcare-sector-basket:SUPPORTS_THESIS:world-regime-risk-off,mydata:thesis:healthcare-sector-basket,world:regime:risk-off,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-housing-supply-correction:SUPPORTS_THESIS:world-entity-affordability-pressure,mydata:thesis:housing-supply-correction,world:entity:affordability-pressure,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-housing-supply-correction:SUPPORTS_THESIS:world-entity-housing-supply-crisis,mydata:thesis:housing-supply-correction,world:entity:housing-supply-crisis,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-housing-supply-correction:SUPPORTS_THESIS:world-regime-rate-cut-cycle,mydata:thesis:housing-supply-correction,world:regime:rate-cut-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-humanoid-robotics:SUPPORTS_THESIS:world-entity-ai-infrastructure-buildout,mydata:thesis:humanoid-robotics,world:entity:ai-infrastructure-buildout,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-humanoid-robotics:SUPPORTS_THESIS:world-entity-labor-shortage,mydata:thesis:humanoid-robotics,world:entity:labor-shortage,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:mydata-thesis-humanoid-robotics:SUPPORTS_THESIS:world-regime-innovation-cycle,mydata:thesis:humanoid-robotics,world:regime:innovation-cycle,SUPPORTS_THESIS,frontmatter,supporting_regimes,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
