id,sourceId,targetId,type,source,method,confidence,weight,status,reason,evidenceCount,missingEvidence,firstSeen,lastSeen,reviewState,reviewRoute,createdBy,asOfDate
rel:world-bill-ca-ab-412-generative-ai-training-data-copyrighted-materials:TARGETS_SECTOR:world-sector-tech,world:bill:ca-ab-412-generative-ai-training-data-copyrighted-materials,world:sector:tech,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-bill-ca-ab-736-affordable-housing-bond-act-of-2026:TARGETS_SECTOR:world-entity-housing,world:bill:ca-ab-736-affordable-housing-bond-act-of-2026,world:entity:housing,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-bill-ca-sb-903-mental-health-ai:TARGETS_SECTOR:world-sector-tech,world:bill:ca-sb-903-mental-health-ai,world:sector:tech,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-bill-hr-8479-protecting-consumers-from-deceptive-ai-act:TARGETS_SECTOR:world-sector-tech,world:bill:hr-8479-protecting-consumers-from-deceptive-ai-act,world:sector:tech,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-bill-s-4424-ndaa-fy2021-higher-ed-institutional-prohibition:TARGETS_SECTOR:world-sector-defense,world:bill:s-4424-ndaa-fy2021-higher-ed-institutional-prohibition,world:sector:defense,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-bill-s-4459-expanding-appalachia-s-broadband-access-act:TARGETS_SECTOR:world-sector-tech,world:bill:s-4459-expanding-appalachia-s-broadband-access-act,world:sector:tech,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-bill-template-bill:TARGETS_SECTOR:world-sector-tech,world:bill:template-bill,world:sector:tech,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-lobbyingcampaign-template-lobbying-firm:TARGETS_SECTOR:world-sector-primary-client-sectors,world:lobbyingcampaign:template-lobbying-firm,world:sector:primary-client-sectors,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-pac-template-pac:TARGETS_SECTOR:world-sector-primary-industry-sectors,world:pac:template-pac,world:sector:primary-industry-sectors,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-policyaction-template-observation:TARGETS_SECTOR:world-sector-tech,world:policyaction:template-observation,world:sector:tech,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-policyaction-template-topic:TARGETS_SECTOR:world-sector-tech,world:policyaction:template-topic,world:sector:tech,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-recipient-template-recipient-profile:TARGETS_SECTOR:world-sector-primary-sector-interests,world:recipient:template-recipient-profile,world:sector:primary-sector-interests,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regulation-template-regulation:TARGETS_SECTOR:world-sector-tech,world:regulation:template-regulation,world:sector:tech,TARGETS_SECTOR,frontmatter,sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
